metal_type,pouring_temperature,mold_material,cooling_rate,section_thickness,pouring_speed,porosity,shrinkage,cold_shut
Steel,1591.32,die,medium,34.07,2.28,1,1,0
Cast Iron,1340.23,die,high,24.57,2.36,1,0,0
Cast Iron,1316.23,ceramic,low,14.03,1.75,1,1,0
Steel,1478.73,die,high,9.84,2.74,1,0,0
Cast Iron,1216.7,die,low,24.81,2.92,1,1,0
Cast Iron,1247.56,sand,high,10.55,1.41,0,0,0
Aluminum,740.55,ceramic,low,26.89,2.13,1,1,1
Cast Iron,1254.17,ceramic,medium,33.13,2.16,1,1,1
Cast Iron,1345.49,ceramic,low,42.23,1.51,1,1,1
Steel,1597.58,die,medium,35.54,1.29,1,1,0
Steel,1539.79,ceramic,low,7.93,2.83,1,1,0
Aluminum,737.75,ceramic,low,18.83,2.47,1,1,1
Cast Iron,1349.84,sand,high,17.96,0.79,0,0,0
Cast Iron,1319.94,sand,high,46.18,0.8,0,1,1
Cast Iron,1281.38,sand,high,44.05,2.81,1,0,1
Aluminum,734.51,die,low,21.66,0.7,0,1,1
Aluminum,658.27,ceramic,low,8.2,2.22,1,1,1
Steel,1545.22,sand,low,45.23,1.07,1,1,1
Aluminum,671.65,sand,medium,44.97,0.59,0,0,1
Cast Iron,1173.21,sand,medium,43.46,0.65,0,1,1
Cast Iron,1328.57,ceramic,low,43.03,1.43,1,1,1
Aluminum,713.96,ceramic,high,26.61,0.69,0,0,1
Cast Iron,1198.71,ceramic,high,12.98,1.99,1,0,0
Cast Iron,1227.36,die,high,26.49,2.12,0,0,0
Aluminum,747.33,die,low,27.26,1.43,0,1,1
Aluminum,736.22,sand,high,27.05,2.36,0,0,1
Cast Iron,1153.12,ceramic,low,29.24,1.73,1,1,1
Cast Iron,1345.96,sand,medium,16.59,1.58,1,1,0
Cast Iron,1223.71,ceramic,high,21.48,1.52,0,0,0
Steel,1554.31,ceramic,medium,24.54,1.58,1,1,1
Steel,1556.9,ceramic,high,10.9,2.92,1,0,0
Steel,1586.75,die,low,25.49,2.2,1,1,0
Aluminum,738.51,die,low,41.47,1.29,0,1,1
Steel,1492.26,ceramic,low,42.26,2.33,1,1,0
Aluminum,714.35,sand,low,23.52,1.33,0,1,1
Aluminum,689.37,ceramic,high,28.35,0.81,0,0,1
Steel,1528.83,ceramic,medium,6.51,1.69,1,1,0
Steel,1533.2,sand,low,35.35,2.38,1,1,1
Steel,1509.45,ceramic,high,23.21,1.44,1,1,0
Cast Iron,1242.78,sand,medium,25.05,2.67,1,1,0
Steel,1481.25,die,low,44.32,1.47,1,1,0
Cast Iron,1271.53,die,medium,25.78,1.37,0,1,0
Aluminum,725.9,sand,low,5.95,3.0,1,1,1
Cast Iron,1235.95,die,medium,15.24,1.71,0,0,0
Steel,1596.65,die,medium,26.4,2.51,1,1,0
Aluminum,655.72,sand,low,24.1,2.51,0,1,1
Aluminum,708.92,die,high,43.72,2.82,0,0,1
Aluminum,708.36,ceramic,medium,29.4,0.71,0,1,1
Cast Iron,1157.26,ceramic,low,36.03,1.18,1,1,1
Steel,1483.69,sand,medium,26.12,2.42,1,1,0
Aluminum,740.55,die,medium,24.78,1.91,0,1,1
Aluminum,704.45,ceramic,high,25.08,1.9,0,0,1
Aluminum,693.64,ceramic,medium,23.49,0.92,0,1,1
Cast Iron,1233.1,die,medium,29.24,1.2,0,1,0
Cast Iron,1327.63,die,low,16.27,1.8,1,1,0
Steel,1505.05,ceramic,low,45.1,1.19,1,1,1
Cast Iron,1321.83,ceramic,high,19.99,1.03,0,0,0
Aluminum,680.92,sand,medium,11.64,0.72,0,0,1
Steel,1529.73,sand,medium,9.34,0.89,1,1,0
Aluminum,664.38,ceramic,medium,5.6,2.42,0,0,1
Aluminum,732.5,sand,high,24.03,2.3,0,0,1
Cast Iron,1297.19,ceramic,medium,13.44,0.61,0,1,0
Steel,1529.51,ceramic,low,5.97,1.01,1,1,0
Cast Iron,1155.18,sand,high,28.4,1.9,0,0,1
Cast Iron,1246.25,sand,low,35.6,1.31,1,1,1
Steel,1483.78,die,low,8.86,2.56,1,1,0
Aluminum,691.34,die,high,25.74,2.46,0,0,1
Aluminum,735.64,die,low,38.46,2.73,1,1,1
Steel,1565.44,ceramic,medium,49.36,1.91,1,1,1
Aluminum,674.2,sand,high,35.02,1.38,0,0,1
Steel,1597.74,ceramic,low,16.02,2.02,1,1,0
Steel,1585.48,sand,medium,37.24,0.72,0,1,0
Cast Iron,1255.73,ceramic,medium,31.91,0.52,0,1,0
Steel,1529.52,die,low,14.53,0.54,1,1,0
Cast Iron,1330.25,die,medium,43.3,1.52,0,1,0
Aluminum,713.61,die,high,24.23,1.07,0,0,1
Aluminum,703.67,ceramic,low,48.29,0.89,0,1,1
Aluminum,724.91,sand,medium,37.53,2.04,0,1,1
Aluminum,673.51,sand,medium,34.01,2.99,1,1,1
Cast Iron,1325.68,die,low,37.78,0.94,1,1,0
Aluminum,703.14,die,low,26.51,1.87,0,1,1
Steel,1540.52,die,low,27.74,0.8,1,1,0
Steel,1463.49,die,low,43.3,2.84,1,1,1
Steel,1496.43,sand,high,35.64,1.23,0,1,1
Cast Iron,1235.35,ceramic,low,45.38,2.7,1,1,1
Aluminum,691.39,ceramic,high,45.09,1.21,0,0,1
Aluminum,727.83,ceramic,high,48.94,2.52,0,0,1
Aluminum,678.23,ceramic,low,36.51,1.02,0,1,1
Cast Iron,1186.42,die,high,27.6,1.23,0,0,0
Steel,1537.39,die,low,12.48,0.98,1,1,0
Steel,1542.25,die,low,36.74,1.16,1,1,0
Aluminum,662.16,ceramic,medium,18.12,2.59,0,0,1
Steel,1450.37,die,low,17.73,2.1,1,1,0
Steel,1587.65,die,medium,15.72,1.51,1,1,0
Cast Iron,1165.93,sand,high,44.38,2.93,1,0,1
Cast Iron,1329.57,sand,medium,44.06,1.66,1,1,1
Cast Iron,1229.84,die,high,33.39,2.92,1,1,1
Cast Iron,1280.61,sand,low,26.28,0.99,1,1,1
Aluminum,668.56,sand,high,35.25,2.76,0,0,1
Cast Iron,1314.78,die,high,32.33,0.53,0,0,0
Steel,1477.03,die,low,23.71,1.86,1,1,0
Aluminum,688.65,die,high,22.08,1.56,0,0,1
Steel,1485.7,die,low,22.23,1.81,1,1,0
Steel,1575.63,ceramic,medium,31.51,1.88,1,1,0
Steel,1578.75,ceramic,low,34.15,1.47,1,1,0
Cast Iron,1224.41,die,low,25.33,3.0,1,1,0
Cast Iron,1211.48,sand,high,48.59,2.94,1,1,1
Aluminum,727.36,die,medium,8.77,2.9,0,0,0
Aluminum,737.85,die,low,20.62,2.95,1,1,1
Cast Iron,1274.8,sand,medium,23.86,2.48,1,1,1
Steel,1589.11,ceramic,medium,5.76,2.97,1,1,0
Aluminum,688.3,die,high,21.42,2.73,0,0,1
Cast Iron,1180.38,die,low,17.32,1.54,1,1,0
Cast Iron,1185.93,ceramic,high,27.77,2.46,0,0,1
Cast Iron,1283.97,ceramic,low,20.14,2.78,1,1,0
Steel,1511.13,sand,medium,37.68,2.28,1,1,1
Cast Iron,1181.26,ceramic,low,27.95,1.56,1,1,1
Cast Iron,1208.45,ceramic,low,10.84,0.66,1,1,1
Cast Iron,1256.12,ceramic,medium,38.75,2.52,1,1,1
Cast Iron,1174.29,sand,medium,9.47,2.88,1,1,0
Aluminum,650.34,ceramic,low,42.76,1.41,0,1,1
Aluminum,741.73,ceramic,high,46.91,0.88,0,1,1
Cast Iron,1210.97,sand,low,19.51,1.32,1,1,0
Steel,1483.22,ceramic,medium,46.68,1.96,1,1,1
Aluminum,719.85,ceramic,high,40.69,1.29,0,0,1
Cast Iron,1320.68,sand,medium,46.51,2.03,1,1,1
Aluminum,713.23,die,medium,34.98,2.92,1,1,1
Aluminum,675.45,sand,high,15.6,2.18,0,0,1
Steel,1579.25,ceramic,medium,45.25,1.41,1,1,1
Cast Iron,1252.09,ceramic,medium,13.29,2.84,1,1,0
Cast Iron,1226.24,ceramic,medium,14.59,1.91,1,1,0
Steel,1540.71,sand,medium,17.2,0.82,0,1,0
Steel,1555.09,ceramic,medium,18.69,1.75,1,1,0
Cast Iron,1268.77,ceramic,medium,28.15,2.13,1,1,1
Cast Iron,1334.05,sand,medium,37.11,2.6,1,1,1
Steel,1544.2,die,medium,46.68,2.84,1,1,0
Aluminum,737.86,die,medium,8.98,1.29,0,0,0
Aluminum,708.7,ceramic,low,47.95,0.89,0,1,1
Steel,1499.45,sand,low,46.46,0.68,1,1,1
Aluminum,703.23,ceramic,medium,7.43,2.35,0,0,1
Steel,1462.95,sand,low,21.21,2.49,1,1,0
Aluminum,673.02,sand,high,41.59,1.52,0,0,1
Aluminum,726.62,die,low,32.52,1.49,0,1,1
Cast Iron,1282.3,die,medium,40.06,2.89,1,1,0
Cast Iron,1183.3,sand,medium,37.36,2.79,1,1,1
Aluminum,693.8,ceramic,low,27.35,1.08,0,1,1
Aluminum,664.2,die,medium,6.85,2.45,0,0,0
Cast Iron,1321.16,ceramic,high,31.29,2.06,0,0,0
Cast Iron,1171.83,die,high,7.19,0.89,0,0,0
Cast Iron,1280.85,die,medium,32.17,1.39,1,1,0
Steel,1541.05,ceramic,high,41.02,0.94,0,1,1
Aluminum,697.28,die,high,31.32,1.24,0,0,1
Cast Iron,1205.65,die,low,49.87,2.04,1,1,1
Aluminum,690.4,ceramic,high,25.51,1.44,0,0,1
Steel,1570.96,die,low,38.7,1.49,1,1,0
Steel,1564.23,die,medium,35.02,1.85,1,1,0
Cast Iron,1297.76,die,low,49.61,0.72,0,1,1
Steel,1562.47,ceramic,medium,37.09,2.35,1,1,1
Aluminum,664.39,sand,medium,12.38,1.5,0,0,1
Cast Iron,1169.82,ceramic,medium,48.0,1.7,1,1,1
Aluminum,736.15,sand,medium,35.05,2.94,1,1,1
Aluminum,733.72,die,medium,7.67,1.36,0,0,1
Steel,1552.2,sand,low,34.59,2.12,1,1,1
Steel,1540.89,ceramic,medium,44.74,1.48,1,1,1
Steel,1505.03,ceramic,high,30.97,2.74,1,1,0
Steel,1483.61,die,high,20.93,2.62,1,1,0
Steel,1550.15,sand,medium,41.94,1.1,1,1,1
Cast Iron,1332.61,die,high,40.21,2.23,1,1,0
Aluminum,693.7,die,low,29.49,0.66,0,1,1
Aluminum,680.32,ceramic,low,11.95,2.91,1,0,1
Aluminum,677.07,sand,medium,16.29,1.37,0,0,1
Aluminum,652.37,sand,medium,38.23,2.58,0,1,1
Steel,1528.05,sand,medium,41.27,1.3,1,1,0
Aluminum,748.82,sand,high,17.57,2.08,0,0,1
Cast Iron,1313.05,die,high,21.56,2.96,1,1,0
Cast Iron,1329.49,die,low,8.49,2.69,1,1,0
Aluminum,712.12,ceramic,high,37.11,0.9,0,0,1
Aluminum,698.14,die,low,5.16,1.87,0,1,0
Cast Iron,1348.09,die,high,7.09,1.37,0,0,0
Cast Iron,1239.43,ceramic,low,5.2,1.59,1,1,0
Steel,1587.52,ceramic,medium,34.04,1.34,1,1,0
Cast Iron,1302.37,ceramic,high,23.78,1.34,0,0,1
Steel,1499.65,die,low,18.39,1.86,1,1,0
Steel,1525.46,die,high,46.07,0.98,0,1,0
Steel,1507.65,ceramic,medium,13.68,1.84,1,1,0
Steel,1470.43,ceramic,low,22.52,1.2,1,1,0
Steel,1503.51,ceramic,high,47.31,1.22,0,0,0
Aluminum,738.9,die,high,24.22,2.35,0,0,1
Cast Iron,1300.53,die,medium,29.96,0.57,0,1,0
Steel,1491.64,sand,medium,8.62,1.45,1,1,0
Cast Iron,1223.58,die,low,40.56,1.52,1,1,0
Cast Iron,1273.29,die,high,24.02,1.71,0,0,0
Steel,1512.42,die,high,41.02,2.17,1,0,0
Aluminum,700.3,ceramic,medium,16.42,1.42,0,0,1
Steel,1554.73,die,medium,24.01,1.03,1,1,0
Aluminum,696.73,ceramic,low,40.39,2.71,1,1,1
Cast Iron,1188.19,sand,high,48.82,2.95,1,1,1
Aluminum,702.06,sand,high,7.68,0.55,0,0,1
Aluminum,685.61,ceramic,low,41.56,1.87,1,1,1
Aluminum,679.07,ceramic,low,18.53,1.35,0,1,1
Cast Iron,1215.62,ceramic,medium,29.78,1.19,0,1,1
Cast Iron,1237.8,die,medium,18.05,1.34,1,1,0
Aluminum,738.66,sand,low,32.61,2.1,1,1,1
Aluminum,723.41,ceramic,low,20.92,0.98,0,1,1
Steel,1550.18,die,high,20.01,2.78,1,0,0
Aluminum,697.13,sand,low,6.71,1.67,0,1,1
Steel,1450.27,die,low,11.61,1.31,1,1,0
Aluminum,684.06,sand,high,46.27,2.41,0,0,1
Steel,1571.98,die,low,49.92,0.54,1,1,0
Cast Iron,1227.63,sand,medium,40.12,1.58,1,1,1
Aluminum,706.38,sand,medium,17.91,1.39,0,0,1
Aluminum,670.47,die,high,23.11,1.35,0,0,1
Aluminum,741.59,ceramic,low,38.28,1.34,1,1,1
Aluminum,742.32,sand,medium,48.58,0.58,0,1,1
Steel,1471.91,ceramic,medium,25.5,0.88,1,1,0
Aluminum,722.42,die,medium,42.33,0.85,0,1,1
Cast Iron,1165.05,ceramic,medium,48.88,2.97,1,1,1
Cast Iron,1269.71,ceramic,low,44.31,0.56,0,1,1
Aluminum,667.87,ceramic,low,15.22,0.92,0,1,1
Cast Iron,1179.14,ceramic,low,5.36,2.94,1,1,0
Aluminum,650.41,ceramic,low,27.14,2.07,0,1,1
Aluminum,744.09,sand,medium,28.91,1.63,0,1,1
Cast Iron,1315.85,sand,high,14.06,0.7,0,0,0
Aluminum,657.75,sand,high,17.81,2.17,0,0,0
Cast Iron,1269.88,die,medium,39.43,0.84,0,1,0
Steel,1484.93,ceramic,medium,26.17,2.18,1,1,0
Aluminum,676.4,sand,high,19.28,2.95,0,0,1
Steel,1581.13,die,high,33.02,1.83,1,1,0
Cast Iron,1172.87,sand,medium,34.37,1.04,1,1,1
Steel,1540.22,sand,medium,39.62,2.06,1,1,1
Steel,1510.19,ceramic,low,12.05,1.78,1,1,0
Cast Iron,1188.16,die,low,38.37,1.83,1,1,1
Steel,1517.79,ceramic,high,31.97,1.7,0,0,0
Steel,1591.07,ceramic,medium,7.59,2.18,1,1,0
Cast Iron,1306.32,sand,high,39.99,1.93,0,0,1
Steel,1469.82,ceramic,low,22.24,2.97,1,1,0
Cast Iron,1319.89,die,low,19.87,2.56,1,1,0
Steel,1590.62,ceramic,high,25.16,1.16,0,1,0
Cast Iron,1205.39,ceramic,low,20.58,2.31,1,1,0
Cast Iron,1216.68,ceramic,medium,20.22,1.04,1,1,1
Steel,1468.95,sand,high,41.36,2.46,1,1,1
Steel,1501.74,die,medium,10.6,0.87,1,1,0
Steel,1550.97,sand,medium,48.68,1.68,1,1,1
Aluminum,677.22,sand,low,29.97,2.48,0,1,1
Aluminum,650.68,sand,medium,13.23,1.2,0,0,1
Aluminum,683.85,sand,high,10.9,2.59,0,0,1
Cast Iron,1240.63,sand,medium,31.62,2.11,1,1,1
Steel,1534.95,die,medium,33.48,1.49,1,1,0
Cast Iron,1286.77,ceramic,medium,7.39,1.56,0,0,0
Aluminum,656.18,sand,medium,15.94,2.81,0,0,1
Steel,1520.46,sand,medium,40.8,1.04,0,1,0
Cast Iron,1203.27,die,low,7.23,2.23,1,1,0
Steel,1592.2,die,high,43.48,2.27,1,1,0
Cast Iron,1221.98,ceramic,low,34.62,2.81,1,1,1
Steel,1465.02,die,high,24.55,2.28,1,0,0
Aluminum,654.15,ceramic,high,20.59,1.96,0,0,1
Aluminum,676.54,sand,high,5.87,2.76,0,0,1
Steel,1476.83,sand,high,42.13,2.57,1,1,1
Cast Iron,1279.96,ceramic,high,11.42,2.29,1,0,0
Aluminum,734.7,die,medium,18.93,0.58,0,0,0
Aluminum,681.26,ceramic,low,30.61,1.43,0,1,1
Aluminum,707.78,die,low,16.07,2.08,0,1,1
Steel,1559.55,sand,medium,27.37,1.81,1,1,0
Steel,1509.77,die,high,41.42,1.3,0,1,0
Cast Iron,1163.27,ceramic,low,26.17,0.86,0,1,1
Cast Iron,1195.84,ceramic,medium,47.7,1.88,1,1,1
Cast Iron,1326.61,sand,medium,43.14,1.21,0,1,1
Steel,1573.67,die,low,19.99,1.08,1,1,0
Steel,1462.98,die,low,23.0,1.5,1,1,0
Cast Iron,1194.79,die,high,24.05,2.46,1,0,0
Cast Iron,1303.83,sand,high,33.18,1.72,0,0,0
Steel,1522.88,die,low,17.91,1.04,1,1,0
Cast Iron,1301.99,ceramic,high,48.62,0.79,0,1,1
Aluminum,671.11,die,medium,32.39,1.75,0,0,1
Steel,1592.9,sand,high,22.97,2.49,1,1,0
Cast Iron,1306.72,die,high,34.03,2.13,0,0,0
Steel,1479.62,die,medium,22.79,1.08,0,1,0
Aluminum,705.84,ceramic,high,41.8,1.59,0,0,1
Steel,1466.96,die,medium,30.55,2.64,1,1,0
Steel,1504.22,ceramic,high,6.89,0.94,0,0,0
Steel,1548.94,ceramic,low,12.95,1.83,1,1,0
Steel,1499.52,sand,high,43.92,1.39,0,1,1
Aluminum,715.68,ceramic,low,30.33,0.81,0,1,1
Steel,1486.72,ceramic,low,47.77,0.62,1,1,1
Steel,1558.18,sand,low,8.26,1.89,1,1,0
Cast Iron,1221.92,ceramic,low,18.29,0.55,1,1,0
Steel,1568.57,sand,low,13.71,0.76,1,1,0
Cast Iron,1177.34,die,medium,29.92,1.37,0,1,0
Aluminum,686.2,sand,medium,22.23,0.61,0,1,1
Aluminum,696.39,ceramic,medium,12.08,1.5,0,0,1
Aluminum,692.38,sand,low,33.92,0.83,0,1,1
Aluminum,693.31,ceramic,high,29.13,1.37,0,0,1
Cast Iron,1238.96,die,medium,17.36,2.48,1,0,0
Steel,1598.32,sand,high,26.59,2.07,1,1,0
Aluminum,669.32,die,high,38.56,1.61,0,0,1
Steel,1565.3,ceramic,low,14.24,0.73,1,1,0
Cast Iron,1260.36,ceramic,low,18.18,2.05,1,1,0
Cast Iron,1232.73,die,low,20.57,0.91,0,1,0
Cast Iron,1276.71,sand,medium,38.6,0.69,0,1,1
Aluminum,735.35,sand,low,43.11,2.16,0,1,1
Steel,1520.0,ceramic,medium,21.94,2.78,1,1,0
Steel,1579.72,die,medium,18.35,1.65,1,1,0
Steel,1464.07,die,medium,45.03,0.6,0,1,0
Cast Iron,1280.62,sand,medium,49.97,2.7,1,1,1
Aluminum,683.32,sand,low,35.17,0.67,0,1,1
Cast Iron,1227.34,sand,medium,49.55,2.67,1,1,1
Cast Iron,1264.2,die,low,34.7,1.48,1,1,1
Steel,1521.99,sand,low,38.01,1.41,1,1,1
Cast Iron,1226.36,sand,medium,22.49,1.86,1,1,0
Steel,1496.25,ceramic,low,24.48,2.89,1,1,0
Aluminum,711.83,sand,high,11.49,2.75,0,0,1
Steel,1525.84,sand,low,42.02,1.68,1,1,1
Aluminum,682.33,die,low,46.9,2.24,1,1,1
Steel,1480.74,die,medium,33.05,1.95,1,1,0
Cast Iron,1304.89,ceramic,medium,20.46,2.23,1,1,0
Cast Iron,1309.94,sand,low,11.93,2.57,1,1,0
Aluminum,671.38,ceramic,medium,16.93,0.59,0,0,1
Aluminum,676.16,die,high,16.49,1.31,0,0,1
Aluminum,673.91,ceramic,high,32.61,2.9,0,0,1
Steel,1582.69,die,medium,47.53,2.87,1,1,0
Steel,1566.12,ceramic,low,7.17,0.53,1,1,0
Aluminum,657.46,ceramic,high,5.05,1.0,0,0,1
Cast Iron,1316.53,sand,high,32.01,2.98,1,1,1
Steel,1455.53,ceramic,low,17.78,1.73,1,1,0
Steel,1487.98,sand,medium,44.62,1.93,1,1,1
Steel,1587.85,sand,high,19.73,0.92,1,1,0
Aluminum,736.43,sand,low,18.04,2.74,1,1,1
Aluminum,728.14,sand,low,17.13,1.08,0,1,1
